Plot Idnum ,old plot num,Year,Rep,Treatment-num,Treatment_st,Fert,Fert_st,Tillage,Tillage_st,Leaf_N_per,Leaf_P_per,Leaf_K_per,Leaf_Ca_per,Leaf_Mg_per,Leaf_S_per,Leaf_B_ppm,Leaf_Fe_ppm,Leaf_Mn_ppm,Leaf_Cu_ppm,Leaf_Zn_ppm,Leaf_Al_ppm,Leaf_Na_ppm
416,401-4,1990,4,16,NT_ctrl,1,Control,4,No_till,2.59,0.502,0.77,0.58,0.516,0.173,5.5,146.5,15.8,8.4,20.3,25.9,5.6
417,402-4,1990,4,17,NT_N,2,N_only,4,No_till,3,0.259,1.03,0.64,0.439,0.203,6,9835,19.3,12.1,41,24.9,6.5
418,403-4,1990,4,18,NT_NwNPK,3,NplusNPKst,4,No_till,2.84,0.273,1.66,0.42,0.187,0.183,6.5,133.7,30,10.2,24.9,18.3,6.3
419,404-4,1990,4,19,NT_NPK,4,NPK,4,No_till,2.93,0.286,2.03,0.41,0.158,0.194,6.9,103.1,36,10.5,25.3,18.7,8.1
420,405-4,1990,4,20,NT_NPKwNPK,5,NPKplusNPKst,4,No_till,3.16,0.269,1.96,0.41,0.179,0.184,6.1,85.1,26.5,8.9,25,18.4,7
101,101-1,2014,1,1,CT_ctrl,1,Control,1,Conv,3.44,0.245,1.63,0.61,0.228,0.194,7.1,97.2,35.6,11.7,21.7,62.2,
102,102-1,2014,1,2,CT_N,2,N_only,1,Conv,3.79,0.214,1.18,0.6,0.361,0.215,7.7,97.4,43.4,13.9,27.9,55.3,
103,103-1,2014,1,3,CT_NwNPK,3,NplusNPKst,1,Conv,3.99,0.309,1.88,0.62,0.209,0.242,9.1,109,55,15.8,26,58.1,
104,104-1,2014,1,4,CT_NPK,4,NPK,1,Conv,3.61,0.282,2.05,0.51,0.174,0.208,8.5,94.8,66.7,13.7,25,45.7,
105,105-1,2014,1,5,CT_NPKwNPK,5,NPKplusNPKst,1,Conv,3.5,0.278,1.89,0.55,0.171,0.238,8.7,106,50.3,15.3,27.7,45.9,
106,101-2,2014,1,6,AT_ctrl,1,Control,2,Alt,3.28,0.26,1.61,0.5,0.226,0.206,9.1,94.5,35.9,14.1,28.7,43,
107,102-2,2014,1,7,AT_N,2,N_only,2,Alt,3.77,0.292,1.27,0.56,0.307,0.231,8.3,100,61.9,16.5,35,40.9,
108,103-2,2014,1,8,AT_NwNPK,3,NplusNPKst,2,Alt,3.28,0.271,1.58,0.59,0.197,0.223,8.1,104,44.3,15.8,28.4,45.9,
109,104-2,2014,1,9,AT_NPK,4,NPK,2,Alt,2.63,0.272,1.86,0.47,0.157,0.197,7.3,92.5,33.9,12.7,21.3,46.2,
110,105-2,2014,1,10,AT_NPKwNPK,5,NPKplusNPKst,2,Alt,3.66,0.273,1.86,0.52,0.177,0.2,7.9,91.8,38.7,13.2,24.5,41.2,
111,101-3,2014,1,11,RT_ctrl,1,Control,3,Chisel,2.85,0.203,1.34,0.51,0.294,0.167,6.7,74.5,26.5,10.2,20.1,56.5,
112,102-3,2014,1,12,RT_N,2,N_only,3,Chisel,2.84,0.172,0.93,0.56,0.391,0.188,7.5,80.2,54.9,11,25.3,45.1,
113,103-3,2014,1,13,RT_NwNPK,3,NplusNPKst,3,Chisel,3.48,0.273,1.54,0.55,0.251,0.204,6.8,89.7,42,14.2,23.2,38.8,
114,104-3,2014,1,14,RT_NPK,4,NPK,3,Chisel,3.33,0.26,1.68,0.49,0.209,0.174,6.4,75.7,30,11.2,20.1,41.2,
115,105-3,2014,1,15,RT_NPKwNPK,5,NPKplusNPKst,3,Chisel,3.18,0.211,1.78,0.44,0.189,0.159,6.9,67.2,67.4,10.1,20,38.5,
116,101-4,2014,1,16,NT_ctrl,1,Control,4,No_till,3.01,0.271,1.83,0.49,0.186,0.193,7.4,92.5,61,12.8,25.1,39.2,
117,102-4,2014,1,17,NT_N,2,N_only,4,No_till,3.79,0.272,2.28,0.39,0.137,0.199,7,93.3,79.7,12.6,33.4,38.8,
118,103-4,2014,1,18,NT_NwNPK,3,NplusNPKst,4,No_till,2.91,0.209,1.25,0.6,0.368,0.184,7,83,49.4,13.2,28.2,36.4,
119,104-4,2014,1,19,NT_NPK,4,NPK,4,No_till,3.67,0.262,2.05,0.5,0.156,0.196,5.8,87.5,86.2,13.3,26.6,37.5,
120,105-4,2014,1,20,NT_NPKwNPK,5,NPKplusNPKst,4,No_till,2.98,0.207,0.81,0.83,0.677,0.215,6.8,77.2,54.1,14.7,33.8,37.4,
201,201-1,2014,2,1,CT_ctrl,1,Control,1,Conv,3.53,0.328,2.17,0.38,0.207,0.214,6.5,78,37.2,10.7,25.6,30.6,
202,202-1,2014,2,2,CT_N,2,N_only,1,Conv,3.53,0.266,1.56,0.43,0.261,0.222,8.6,84.4,56.6,12.6,30.2,39.8,
203,203-1,2014,2,3,CT_NwNPK,3,NplusNPKst,1,Conv,3.13,0.296,1.85,0.43,0.199,0.203,9.2,83.9,42.3,11.8,25.3,38.3,
204,204-1,2014,2,4,CT_NPK,4,NPK,1,Conv,3.61,0.303,2.01,0.42,0.156,0.209,8.6,84.7,41.7,12.5,22.4,28.6,
205,205-1,2014,2,5,CT_NPKwNPK,5,NPKplusNPKst,1,Conv,3.38,0.28,1.49,0.5,0.281,0.215,8.3,84.5,41.5,11.8,25.4,40.8,
206,201-2,2014,2,6,AT_ctrl,1,Control,2,Alt,3.11,0.24,1.49,0.53,0.248,0.185,6.9,85.7,32.6,11.8,21.6,46.7,
207,202-2,2014,2,7,AT_N,2,N_only,2,Alt,3.31,0.245,1.54,0.43,0.238,0.194,7.5,79.1,43.1,11.6,24.7,33.9,
208,203-2,2014,2,8,AT_NwNPK,3,NplusNPKst,2,Alt,3.31,0.305,1.98,0.45,0.176,0.202,7.5,82.4,40.7,11.6,21.8,34.3,
209,204-2,2014,2,9,AT_NPK,4,NPK,2,Alt,3.57,0.298,2,0.5,0.173,0.204,6.3,89.9,43.3,12.6,21,36.4,
210,205-2,2014,2,10,AT_NPKwNPK,5,NPKplusNPKst,2,Alt,3.13,0.274,2.22,0.45,0.149,0.176,5.9,77.9,39.9,11,19.1,35.5,
211,201-3,2014,2,11,RT_ctrl,1,Control,3,Chisel,2.61,0.227,1.82,0.35,0.198,0.15,6.8,60.9,26.1,8.8,19.8,34.4,
212,202-3,2014,2,12,RT_N,2,N_only,3,Chisel,3.15,0.282,1.78,0.38,0.185,0.173,6.9,67.9,30.8,9.8,19.4,29.5,
213,203-3,2014,2,13,RT_NwNPK,3,NplusNPKst,3,Chisel,3.31,0.276,1.63,0.44,0.211,0.181,6.8,74.7,37.5,11.6,22.2,32,
214,204-3,2014,2,14,RT_NPK,4,NPK,3,Chisel,3.66,0.218,1.22,0.62,0.356,0.185,6.2,75.7,39.4,10.9,21.8,34.2,
215,205-3,2014,2,15,RT_NPKwNPK,5,NPKplusNPKst,3,Chisel,3.19,0.278,1.49,0.52,0.275,0.19,6.7,76.9,37.9,11.7,23.4,33.2,
216,201-4,2014,2,16,NT_ctrl,1,Control,4,No_till,2.76,0.195,0.89,0.61,0.39,0.171,6.1,69.2,35.4,11.3,24.5,37.6,
